CityCode,WellnessCenterCode,Category,DoctorCount,Latitude,Longitude,WellnessCentreName,CityName,WellnessCenterNumber,WellnessCenterAddress,doctorcount_int
15,CG1,Allopathy,6,30.70475565819617,76.76134927116448,NA,Chandigarh,0172 - 2925160,,6
16,CH02,Allopathy,7,13.089141576818465,80.20448887486181,NA,Chennai,044-23458402,"Central Revenue Qtr No 15, Ranganathan Garden Anna Nagar",7
16,CH03,Allopathy,8,13.12410440203191,80.11307789815133,NA,Chennai,044-23458403,"Heavy Vehicles Factory Complex,  Avadi ",8
18,D101,Allopathy,7,28.628544646156392,77.30425424600249,NA,DELHI/HQ/DIRECTORATE/MINISTRY,011-21210225,,7
18,D23,Allopathy,8,28.5861499573469,77.19619252883551,NA,DELHI/HQ/DIRECTORATE/MINISTRY,24673777 20865003,"D-II/257, 259, Vinay Marg, Chanakyapuri Delhi",8
18,D48,Allopathy,6,28.624892906432137,77.10427166931579,NA,DELHI/HQ/DIRECTORATE/MINISTRY,28125518,"CGHS Hari Nagar, Near DTC Depot, Hari Nagar",6
18,D52,Allopathy,9,28.571749645778777,77.16701221164476,NA,DELHI/HQ/DIRECTORATE/MINISTRY,26173988,"CGHS Disp. Building, Sector -VIII, R.K. Puram.",9
18,D60,Allopathy,12,28.699692224082114,77.20152047486181,NA,DELHI/HQ/DIRECTORATE/MINISTRY,011-27459411,"CGHS Wellness Centre, New Police Line, Kingsway Camp",12
18,D66,Allopathy,6,28.59038002242396,77.08739725121012,NA,DELHI/HQ/DIRECTORATE/MINISTRY,25035839,"Palam Colony, Near Subzi Mandi, Mangla Puri Bus stand, Mangla Puri",6
20,HY11,Allopathy,6,17.438982653459124,78.35610835582239,NA,Hyderabad,040-23002454,"Hostel Suite No.1 to 8, Hostel Complex, GPRA Quarters, Gachibowli, Hyderabad 500032",6
27,MU13,Allopathy,6,,,NA,Mumbai,022-0870898,"A-1 wing, A-2 Wing,  Ground Floor, CGO Complex, Near RBI,Sector -10,",6
28,NP8,Allopathy,6,21.114081120844386,79.06947687895038,NA,Nagpur,0712- 2226516,"Laxman Aptt, Beside Sai Mandir, Wardha Road, Nagpur- 440015",6
18,D22A,Allopathy,6,28.45163091164676,77.52128768650657,NA,DELHI/HQ/DIRECTORATE/MINISTRY,0120-2977128,"First floor, P3 Shopping complex, Greater Noida",6
18,D49,Allopathy,7,,"",NA,DELHI/HQ/DIRECTORATE/MINISTRY,011-22583766,"CGHS Wellness Centre, Mansarovar Park, Shahdara",7
18,D61,Allopathy,13,28.61996740049114,77.08881545622226,NA,DELHI/HQ/DIRECTORATE/MINISTRY,25551434,"C-4A, Janak Puri, Near Janakpuri Superspeciality Hospital",13
18,D77,Allopathy,6,28.60546935248894,77.29438916931582,NA,DELHI/HQ/DIRECTORATE/MINISTRY,011-21200721,"CGHS WC, PratapNagar, Behind Jeewan Anmol Hospital, Mayur Vihar-Phase 1",6
18,D83,Allopathy,6,28.588996021283258,77.23176516931579,NA,DELHI/HQ/DIRECTORATE/MINISTRY,"24361522, 24367843","C.P.W.D. Complex, Pragati Vihar",6
24,KO18,Allopathy,8,22.571348211832444,88.41665968836001,NA,Kolkata,23353427,CGHS POLYCLINIC COMPLEX,8
27,MU5,Allopathy,8,19.103847378914,72.85739965314477,NA,Mumbai,022-28210971,"Near Airport colony, Bamanawada, Santacruz (w),Mumbai-400029",8
27,MU6,Allopathy,7,19.09061606142179,72.90999591349342,NA,Mumbai,022-25149229,"Flat No.25, Central Govt. Quarters, Ghatkopar, Mumbai -400086",7
12,BA01,Allopathy,7,12.981869832339932,77.60421130684196,NA,Bengaluru,080-25588777,"2nd Floor, Ganesh Towers, Infantry Road, Bangalore 560001",7
18,D44,Allopathy,7,28.606016343536037,77.23475625951973,NA,DELHI/HQ/DIRECTORATE/MINISTRY,"23383724 ,21410869","CGHS Building, Dr. Zakir Hussain Road",7
18,D63,Allopathy,6,28.555377239190122,77.2271222,NA,DELHI/HQ/DIRECTORATE/MINISTRY,26255516,"CGHS Wellness Centre Building, Sadiq Nagar Sec-3 (Near G.K.I)",6
18,D93,Allopathy,8,,0,NA,DELHI/HQ/DIRECTORATE/MINISTRY,9312901213,"CGHS Welness Centre, Supreme Court New Delhi 110001",8
20,HY8,Allopathy,8,17.33795701699503,78.50624701719076,NA,Hyderabad,040-24340685,"DRDO Complex Kanchanbagh,Hyderabad-500058",8
24,KO13,Allopathy,6,22.639511195858255,88.43099928465789,NA,Kolkata,25119442,"New Quarters,Dum Dum, Kolkata  700052. (Nr. Airport Gate no-1)",6
25,LK13,Allopathy,6,26.840275954674993,80.93987740000001,NA,Lucknow,0522-2789991,"19-B, Sheela Complex Vidhan Sabha Marg, Lucknow",6
29,PA3,Allopathy,7,25.629136455341797,85.08453381349342,NA,Patna,0612-2950298,"Central Revenue Colony, Salimpur Dumra, Ashiana Nagar, Patna",7
33,TR3,Allopathy,6,8.498841081885265,76.94734916931579,NA,Trivandrum,0471-2471143,"O/o CMO I/C,  P S Towers, Tutors Lane, Statue, GPO, Trivandrum 695001",6
16,CH06,Allopathy,12,13.036909239956675,80.2079093153421,NA,Chennai,044-23458406,Cpwd Quarters Kk Nagar Chennai 600078,12
18,AY9,Ayurveda,8,28.58275082163675,77.21996991534209,NA,DELHI/HQ/DIRECTORATE/MINISTRY,9312901213,"Ground Floor, CGHS Ayurveda Hospital, CGHS Building, Aliganj, New Delhi-110003",8
18,D1,Allopathy,6,28.634276725051805,77.2029951693158,NA,DELHI/HQ/DIRECTORATE/MINISTRY,23743810  21400889,"CGHS Building, DIZ Area-II, Gole Market",6
